City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
74,port moresby,-9.4431,147.1797,29.68,66,75,5.14,PG,1723084303
75,flying fish cove,-10.4217,105.6791,26.82,78,40,6.69,CX,1723084304
76,kudahuvadhoo,2.6708,72.8944,26.77,81,100,7.28,MV,1723084306
77,salinopolis,-0.6136,-47.3561,26.26,83,65,4.55,BR,1723084307
78,coahuayana de hidalgo,18.7,-103.6583,26.63,85,99,0.93,MX,1723084308
79,lihue,21.9789,-159.3672,28.77,64,20,6.69,US,1723084309
80,nizhniy kuranakh,58.8353,125.4869,21.81,54,0,2.45,RU,1723084310
81,maintirano,-18.0667,44.0167,20.68,86,1,2.58,MG,1723084311
82,aladag,37.5485,35.396,22.98,63,0,1.29,TR,1723084312
83,iqaluit,63.7506,-68.5145,7.85,76,20,1.54,CA,1723084313
84,port mathurin,-19.6833,63.4167,22.3,74,17,5.55,MU,1723084314
85,wongsorejo,-7.9908,114.4009,29.32,64,59,3.98,ID,1723084317
86,upper dir,35.2058,71.8756,23.43,82,67,1.64,PK,1723084318
87,margaret river,-33.95,115.0667,15.16,65,100,6.08,AU,1723084319
88,kotido,2.9806,34.1331,20.4,71,56,2.83,UG,1723084320
89,haiku-pauwela,20.9219,-156.3051,28.45,71,20,11.83,US,1723084321
90,enewetak,11.3474,162.3373,28.8,75,87,4.82,MH,1723084322
91,taulaga,-11.0553,-171.0883,27.42,74,81,9.07,AS,1723084323
92,grand falls-windsor,48.9332,-55.6649,13.61,78,1,3.23,CA,1723084169
93,broken hill,-31.95,141.4333,15.95,42,100,8.23,AU,1723084326
94,la passe,45.5549,-0.8967,17.13,84,84,3.24,FR,1723084327
95,port alfred,-33.5906,26.891,14.95,70,0,4.17,ZA,1723084328
